"Step","math_hard_grpo - math_hard/is_exact_match_using_number_parsed_from_boxed_answer","math_hard_grpo - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MIN","math_hard_grpo - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MAX","math_hard_reinforce - math_hard/is_exact_match_using_number_parsed_from_boxed_answer","math_hard_reinforce - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MIN","math_hard_reinforce - math_hard/is_exact_match_using_number_parsed_from_boxed_answer__MAX"
"0","0.1875","0.1875","0.1875","0.1875","0.1875","0.1875"
"1","0.21875","0.21875","0.21875","0.21875","0.21875","0.21875"
"2","0.25","0.25","0.25","0.25","0.25","0.25"
"3","0.25","0.25","0.25","0.265625","0.265625","0.265625"
"4","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375"
"5","0.25","0.25","0.25","0.21875","0.21875","0.21875"
"6","0.125","0.125","0.125","0.125","0.125","0.125"
"7","0.28125","0.28125","0.28125","0.265625","0.265625","0.265625"
"8","0.421875","0.421875","0.421875","0.28125","0.28125","0.28125"
"9","0.15625","0.15625","0.15625","0.15625","0.15625","0.15625"
"10","0.21875","0.21875","0.21875","0.25","0.25","0.25"
"11","0.375","0.375","0.375","0.453125","0.453125","0.453125"
"12","0.125","0.125","0.125","0.078125","0.078125","0.078125"
"13","0.296875","0.296875","0.296875","0.328125","0.328125","0.328125"
"14","0.234375","0.234375","0.234375","0.234375","0.234375","0.234375"
"15","0.125","0.125","0.125","0.09375","0.09375","0.09375"
"16","0.25","0.25","0.25","0.265625","0.265625","0.265625"
"17","0.140625","0.140625","0.140625","0.125","0.125","0.125"
"18","0.234375","0.234375","0.234375","0.203125","0.203125","0.203125"
"19","0.25","0.25","0.25","0.265625","0.265625","0.265625"
"20","0.265625","0.265625","0.265625","0.25","0.25","0.25"
"21","0.25","0.25","0.25","0.296875","0.296875","0.296875"
"22","0.25","0.25","0.25","0.25","0.25","0.25"
"23","0.125","0.125","0.125","0.125","0.125","0.125"
"24","0.296875","0.296875","0.296875","0.3125","0.3125","0.3125"
"25","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125"
"26","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375"
"27","0.0625","0.0625","0.0625","0.078125","0.078125","0.078125"
"28","0.25","0.25","0.25","0.25","0.25","0.25"
"29","0","0","0","0.046875","0.046875","0.046875"
"30","0.15625","0.15625","0.15625","0.078125","0.078125","0.078125"
"31","0.125","0.125","0.125","0.125","0.125","0.125"
"32","0.359375","0.359375","0.359375","0.390625","0.390625","0.390625"
"33","0.390625","0.390625","0.390625","0.375","0.375","0.375"
"34","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375"
"35","0.25","0.25","0.25","0.234375","0.234375","0.234375"
"36","0.3125","0.3125","0.3125","0.3125","0.3125","0.3125"
"37","0.3125","0.3125","0.3125","0.3125","0.3125","0.3125"
"38","0.03125","0.03125","0.03125","0.015625","0.015625","0.015625"
"39","0.359375","0.359375","0.359375","0.40625","0.40625","0.40625"
"40","0.171875","0.171875","0.171875","0.15625","0.15625","0.15625"
"41","0.203125","0.203125","0.203125","0.171875","0.171875","0.171875"
"42","0.078125","0.078125","0.078125","0.03125","0.03125","0.03125"
"43","0.078125","0.078125","0.078125","0.125","0.125","0.125"
"44","0.328125","0.328125","0.328125","0.28125","0.28125","0.28125"
"45","0.359375","0.359375","0.359375","0.296875","0.296875","0.296875"
"46","0.140625","0.140625","0.140625","0.15625","0.15625","0.15625"
"47","0.375","0.375","0.375","0.3125","0.3125","0.3125"
"48","0.1875","0.1875","0.1875","0.21875","0.21875","0.21875"
"49","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875"
"50","0.359375","0.359375","0.359375","0.328125","0.328125","0.328125"
"51","0.390625","0.390625","0.390625","0.34375","0.34375","0.34375"
"52","0.375","0.375","0.375","0.328125","0.328125","0.328125"
"53","0.171875","0.171875","0.171875","0.21875","0.21875","0.21875"
"54","0.109375","0.109375","0.109375","0.15625","0.15625","0.15625"
"55","0.265625","0.265625","0.265625","0.1875","0.1875","0.1875"
"56","0.21875","0.21875","0.21875","0.1875","0.1875","0.1875"
"57","0.28125","0.28125","0.28125","0.265625","0.265625","0.265625"
"58","0.03125","0.03125","0.03125","0.03125","0.03125","0.03125"
"59","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875"
"60","0.09375","0.09375","0.09375","0.046875","0.046875","0.046875"
"61","0.359375","0.359375","0.359375","0.359375","0.359375","0.359375"
"62","0.1875","0.1875","0.1875","0.21875","0.21875","0.21875"
"63","0.53125","0.53125","0.53125","0.484375","0.484375","0.484375"
"64","0.15625","0.15625","0.15625","0.21875","0.21875","0.21875"
"65","0.078125","0.078125","0.078125","0.046875","0.046875","0.046875"
"66","0.234375","0.234375","0.234375","0.21875","0.21875","0.21875"
"67","0.25","0.25","0.25","0.265625","0.265625","0.265625"
"68","0.3125","0.3125","0.3125","0.390625","0.390625","0.390625"
"69","0.265625","0.265625","0.265625","0.265625","0.265625","0.265625"
"70","0.21875","0.21875","0.21875","0.171875","0.171875","0.171875"
"71","0.328125","0.328125","0.328125","0.34375","0.34375","0.34375"
"72","0.375","0.375","0.375","0.328125","0.328125","0.328125"
"73","0.125","0.125","0.125","0.171875","0.171875","0.171875"
"74","0.1875","0.1875","0.1875","0.171875","0.171875","0.171875"
"75","0.34375","0.34375","0.34375","0.28125","0.28125","0.28125"
"76","0.25","0.25","0.25","0.21875","0.21875","0.21875"
"77","0.25","0.25","0.25","0.25","0.25","0.25"
"78","0.1875","0.1875","0.1875","0.171875","0.171875","0.171875"
"79","0.34375","0.34375","0.34375","0.359375","0.359375","0.359375"
"80","0.265625","0.265625","0.265625","0.3125","0.3125","0.3125"
"81","0.328125","0.328125","0.328125","0.3125","0.3125","0.3125"
"82","0.359375","0.359375","0.359375","0.421875","0.421875","0.421875"
"83","0.3125","0.3125","0.3125","0.28125","0.28125","0.28125"
"84","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875"
"85","0.125","0.125","0.125","0.140625","0.140625","0.140625"
"86","0.34375","0.34375","0.34375","0.34375","0.34375","0.34375"
"87","0.296875","0.296875","0.296875","0.28125","0.28125","0.28125"
"88","0.125","0.125","0.125","0.125","0.125","0.125"
"89","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125"
"90","0.046875","0.046875","0.046875","0.046875","0.046875","0.046875"
"91","0.203125","0.203125","0.203125","0.203125","0.203125","0.203125"
"92","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125"
"93","0.515625","0.515625","0.515625","0.4375","0.4375","0.4375"
"94","0.171875","0.171875","0.171875","0.078125","0.078125","0.078125"
"95","0.53125","0.53125","0.53125","0.484375","0.484375","0.484375"
"96","0.28125","0.28125","0.28125","0.3125","0.3125","0.3125"
"97","0.1875","0.1875","0.1875","0.125","0.125","0.125"
"98","0.265625","0.265625","0.265625","0.21875","0.21875","0.21875"
"99","0.28125","0.28125","0.28125","0.25","0.25","0.25"
"100","0.328125","0.328125","0.328125","0.296875","0.296875","0.296875"
"101","0.25","0.25","0.25","0.234375","0.234375","0.234375"
"102","0.359375","0.359375","0.359375","0.328125","0.328125","0.328125"
"103","0.25","0.25","0.25","0.265625","0.265625","0.265625"
"104","0.0625","0.0625","0.0625","0.046875","0.046875","0.046875"
"105","0.1875","0.1875","0.1875","0.140625","0.140625","0.140625"
"106","0.28125","0.28125","0.28125","0.265625","0.265625","0.265625"
"107","0.34375","0.34375","0.34375","0.390625","0.390625","0.390625"
"108","0.203125","0.203125","0.203125","0.203125","0.203125","0.203125"
"109","0.234375","0.234375","0.234375","0.203125","0.203125","0.203125"
"110","0.109375","0.109375","0.109375","0.125","0.125","0.125"
"111","0.546875","0.546875","0.546875","0.515625","0.515625","0.515625"
"112","0.328125","0.328125","0.328125","0.34375","0.34375","0.34375"
"113","0.59375","0.59375","0.59375","0.5625","0.5625","0.5625"
"114","0.21875","0.21875","0.21875","0.0625","0.0625","0.0625"
"115","0.359375","0.359375","0.359375","0.25","0.25","0.25"
"116","0.0625","0.0625","0.0625","0.015625","0.015625","0.015625"
"117","0.375","0.375","0.375","0.28125","0.28125","0.28125"
"118","0.453125","0.453125","0.453125","0.421875","0.421875","0.421875"
"119","0.328125","0.328125","0.328125","0.296875","0.296875","0.296875"
"120","0.3125","0.3125","0.3125","0.25","0.25","0.25"
"121","0.25","0.25","0.25","0.21875","0.21875","0.21875"
"122","0.171875","0.171875","0.171875","0.140625","0.140625","0.140625"
"123","0.390625","0.390625","0.390625","0.359375","0.359375","0.359375"
"124","0.015625","0.015625","0.015625","0.109375","0.109375","0.109375"
"125","0.5","0.5","0.5","0.46875","0.46875","0.46875"
"126","0.3125","0.3125","0.3125","0.34375","0.34375","0.34375"
"127","0.125","0.125","0.125","0.03125","0.03125","0.03125"
"128","0.359375","0.359375","0.359375","0.28125","0.28125","0.28125"
"129","0.390625","0.390625","0.390625","0.34375","0.34375","0.34375"
"130","0.15625","0.15625","0.15625","0.125","0.125","0.125"
"131","0.4375","0.4375","0.4375","0.390625","0.390625","0.390625"
"132","0.296875","0.296875","0.296875","0.296875","0.296875","0.296875"
"133","0.3125","0.3125","0.3125","0.203125","0.203125","0.203125"
"134","0.546875","0.546875","0.546875","0.578125","0.578125","0.578125"
"135","0.3125","0.3125","0.3125","0.359375","0.359375","0.359375"
"136","0.484375","0.484375","0.484375","0.40625","0.40625","0.40625"
"137","0.140625","0.140625","0.140625","0.21875","0.21875","0.21875"
"138","0.609375","0.609375","0.609375","0.40625","0.40625","0.40625"
"139","0.34375","0.34375","0.34375","0.1875","0.1875","0.1875"
"140","0.03125","0.03125","0.03125","0.015625","0.015625","0.015625"
"141","0.265625","0.265625","0.265625","0.15625","0.15625","0.15625"
"142","0.21875","0.21875","0.21875","0.15625","0.15625","0.15625"
"143","0.328125","0.328125","0.328125","0.234375","0.234375","0.234375"
"144","0.15625","0.15625","0.15625","0.0625","0.0625","0.0625"
"145","0.03125","0.03125","0.03125","0.046875","0.046875","0.046875"
"146","0.25","0.25","0.25","0.25","0.25","0.25"
"147","0.328125","0.328125","0.328125","0.34375","0.34375","0.34375"
"148","0.140625","0.140625","0.140625","0.09375","0.09375","0.09375"
"149","0.328125","0.328125","0.328125","0.328125","0.328125","0.328125"
"150","0.203125","0.203125","0.203125","0.203125","0.203125","0.203125"
"151","0.3125","0.3125","0.3125","0.34375","0.34375","0.34375"
"152","0.03125","0.03125","0.03125","0","0","0"
"153","0.03125","0.03125","0.03125","0.03125","0.03125","0.03125"
"154","0.234375","0.234375","0.234375","0.328125","0.328125","0.328125"
